id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
9628,option,-250,72.6,112.85,10062.5,2021-11-12 04:55:37.791559+00:00,2021-11-12 07:30:15.247895+00:00,3700,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
4893,option,100,161.3,233.55,7225.0,2021-10-26 07:05:01.003277+00:00,2021-10-27 04:50:04.902953+00:00,18100,ce,4,Nifty50 Pyramiding_10,NIFTY
6795,option,100,166.65,167.0,34.99999999999943,2021-11-01 05:45:03.241699+00:00,2021-11-01 05:55:00.879592+00:00,17700,ce,4,Nifty50 Pyramiding_10,NIFTY
2945,option,-100,157.45,176.2,1875.0,2021-10-21 04:00:07.676537+00:00,2021-10-21 04:25:01.470443+00:00,18450,pe,2,Bank50 Pyramiding_1,NIFTY
2947,option,-100,180.7,176.2,-450.0,2021-10-21 04:10:00.955553+00:00,2021-10-21 04:25:01.470443+00:00,18450,pe,2,Bank50 Pyramiding_1,NIFTY
2956,option,-100,160.05,176.2,1614.9999999999977,2021-10-21 04:20:01.072078+00:00,2021-10-21 04:25:01.470443+00:00,18450,pe,2,Bank50 Pyramiding_1,NIFTY
6788,option,-250,59.55,56.5,-762.4999999999993,2021-11-01 05:25:20.932686+00:00,2021-11-01 06:10:24.099515+00:00,3600,pe,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
6779,option,-250,103.3,97.65,-1412.499999999998,2021-11-01 05:20:16.523907+00:00,2021-11-01 06:10:24.116471+00:00,3700,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
6789,option,25,475.45,800.45,8125.000000000002,2021-11-01 05:30:01.930330+00:00,2021-11-02 04:10:01.153796+00:00,39100,ce,1,BankNifty Pyramiding_1,BANKNIFTY
14819,option,-1500,16.9,16.3,-899.9999999999968,2021-12-02 04:00:09.052376+00:00,2021-12-02 04:50:00.917518+00:00,475,pe,8,SBI Pyramiding[10]_atm,SBIN
14824,option,-1500,16.55,16.3,-375.0,2021-12-02 04:05:02.686117+00:00,2021-12-02 04:50:00.917518+00:00,475,pe,8,SBI Pyramiding[10]_atm,SBIN
10519,option,-100,151.65,150.25,-140.00000000000057,2021-11-16 05:55:01.029190+00:00,2021-11-16 06:00:03.060927+00:00,18150,pe,2,Bank50 Pyramiding_1,NIFTY
2967,option,100,189.8,164.15,-2565.0000000000005,2021-10-21 04:25:01.470443+00:00,2021-10-21 04:45:04.028374+00:00,18100,ce,2,Bank50 Pyramiding_1,NIFTY
7709,option,250,87.5,90.0,625.0,2021-11-03 06:51:18.182194+00:00,2021-11-03 06:55:18.734840+00:00,3750,ce,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
10516,option,-250,45.65,40.15,-1375.0,2021-11-16 05:50:04.412404+00:00,2021-11-16 06:05:02.978762+00:00,3600,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
10527,option,-250,43.95,40.15,-950.000000000001,2021-11-16 05:56:13.866005+00:00,2021-11-16 06:05:02.978762+00:00,3600,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
2983,option,25,504.85,417.95,-2172.500000000001,2021-10-21 04:40:00.804547+00:00,2021-10-21 05:30:00.862959+00:00,39200,ce,1,BankNifty Pyramiding_1,BANKNIFTY
2933,option,25,476.35,334.8,-3538.7500000000005,2021-10-21 03:50:02.442406+00:00,2021-10-21 05:30:01.077277+00:00,39300,ce,3,BankNifty Pyramiding_10,BANKNIFTY
14817,option,-25,505.0,483.2,-545.0000000000002,2021-12-02 04:00:06.217305+00:00,2021-12-02 04:50:02.290150+00:00,36800,pe,3,BankNifty Pyramiding_10,BANKNIFTY
14821,option,250,82.0,88.0,1500.0,2021-12-02 04:00:15.793796+00:00,2021-12-02 05:40:02.768498+00:00,3300,ce,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
14831,option,250,107.7,117.4,2425.000000000001,2021-12-02 04:10:04.096160+00:00,2021-12-02 05:40:02.230168+00:00,3250,ce,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
14822,option,100,168.35,190.7,2234.9999999999995,2021-12-02 04:05:01.241485+00:00,2021-12-02 06:50:00.807509+00:00,17100,ce,4,Nifty50 Pyramiding_10,NIFTY
10531,option,-250,40.55,40.15,-99.99999999999964,2021-11-16 06:00:10.985150+00:00,2021-11-16 06:05:02.978762+00:00,3600,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
10492,option,-250,16.4,13.85,-637.4999999999998,2021-11-16 05:30:13.284365+00:00,2021-11-16 06:05:03.778217+00:00,3500,pe,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
10532,option,-250,14.5,13.85,-162.50000000000009,2021-11-16 06:00:10.985831+00:00,2021-11-16 06:05:03.778217+00:00,3500,pe,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
