id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
20999,option,-25,504.75,374.5,-3286.25,2021-12-30 03:55:01.879268+00:00,2021-12-30 04:20:00.815701+00:00,35400,pe,1,BankNifty Pyramiding_1,BANKNIFTY
21002,option,-25,460.1,398.2,-1577.500000000001,2021-12-30 04:00:07.226973+00:00,2021-12-30 04:40:03.889240+00:00,35400,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21003,option,-100,194.3,193.1,-150.0000000000017,2021-12-30 04:00:09.567837+00:00,2021-12-30 04:10:01.698468+00:00,17400,pe,2,Nifty50 Pyramiding_1,NIFTY
21004,option,-100,194.3,173.35,-2125.000000000002,2021-12-30 04:00:08.904810+00:00,2021-12-30 04:25:01.488453+00:00,17400,pe,101,"Nifty50 Every Candle[12,14]",NIFTY
21005,option,-25,542.25,488.95,-1362.5000000000002,2021-12-30 04:05:01.973334+00:00,2021-12-30 04:40:03.889240+00:00,35500,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
21007,option,-100,193.8,173.35,-2075.000000000002,2021-12-30 04:05:03.639110+00:00,2021-12-30 04:25:01.488453+00:00,17400,pe,101,"Nifty50 Every Candle[12,14]",NIFTY
21008,option,100,164.45,179.25,1450.0000000000011,2021-12-30 04:10:01.698468+00:00,2021-12-30 05:50:01.957334+00:00,17050,ce,2,Nifty50 Pyramiding_1,NIFTY
21009,option,-100,193.1,173.35,-2005.0,2021-12-30 04:10:01.668970+00:00,2021-12-30 04:25:01.488453+00:00,17400,pe,101,"Nifty50 Every Candle[12,14]",NIFTY
21011,option,-100,182.1,173.35,-905.0,2021-12-30 04:15:01.461773+00:00,2021-12-30 04:25:01.488453+00:00,17400,pe,101,"Nifty50 Every Candle[12,14]",NIFTY
21013,option,25,478.25,300.3,-4478.75,2021-12-30 04:20:00.815701+00:00,2021-12-30 06:10:02.846984+00:00,34600,ce,1,BankNifty Pyramiding_1,BANKNIFTY
21015,option,-100,166.7,173.35,635.0000000000006,2021-12-30 04:20:02.741748+00:00,2021-12-30 04:25:01.488453+00:00,17400,pe,101,"Nifty50 Every Candle[12,14]",NIFTY
21017,option,100,182.65,149.3,-3364.9999999999995,2021-12-30 04:25:01.488453+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21018,option,100,182.65,179.25,-370.00000000000057,2021-12-30 04:25:02.850075+00:00,2021-12-30 05:50:01.957334+00:00,17050,ce,2,Nifty50 Pyramiding_1,NIFTY
21020,option,100,183.5,149.3,-3449.999999999999,2021-12-30 04:30:03.784392+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21022,option,100,188.65,149.3,-3964.9999999999995,2021-12-30 04:35:02.809181+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21023,option,100,189.0,149.3,-3999.999999999999,2021-12-30 04:40:01.223424+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21024,option,25,539.05,386.4,-3846.2499999999995,2021-12-30 04:40:01.319898+00:00,2021-12-30 06:10:02.611120+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
21025,option,100,189.0,161.65,-2764.9999999999995,2021-12-30 04:40:03.065391+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21026,option,100,189.15,179.25,-1020.0000000000006,2021-12-30 04:40:02.973292+00:00,2021-12-30 05:50:01.957334+00:00,17050,ce,2,Nifty50 Pyramiding_1,NIFTY
21027,option,25,538.35,455.15,-2110.000000000001,2021-12-30 04:40:03.889240+00:00,2021-12-30 05:25:01.625350+00:00,34500,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
21029,option,25,536.25,455.15,-2057.5000000000005,2021-12-30 04:45:00.817421+00:00,2021-12-30 05:25:01.625350+00:00,34500,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
21031,option,25,536.25,386.4,-3776.2500000000005,2021-12-30 04:45:00.623262+00:00,2021-12-30 06:10:02.611120+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
21032,option,100,196.5,149.3,-4749.999999999999,2021-12-30 04:45:04.498503+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21033,option,100,197.2,161.65,-3584.999999999998,2021-12-30 04:45:05.691941+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21034,option,25,510.1,386.4,-3122.500000000001,2021-12-30 04:50:00.672569+00:00,2021-12-30 06:10:02.611120+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
21035,option,25,510.1,455.15,-1403.7500000000011,2021-12-30 04:50:00.860766+00:00,2021-12-30 05:25:01.625350+00:00,34500,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
21036,option,100,194.85,179.25,-1589.9999999999995,2021-12-30 04:50:02.761481+00:00,2021-12-30 05:50:01.957334+00:00,17050,ce,2,Nifty50 Pyramiding_1,NIFTY
21037,option,100,194.85,161.65,-3349.999999999999,2021-12-30 04:50:02.272465+00:00,2021-12-30 06:15:04.583610+00:00,17050,ce,4,Nifty50 Pyramiding_10,NIFTY
21038,option,100,194.35,149.3,-4534.999999999998,2021-12-30 04:50:03.280008+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21040,option,25,507.15,386.4,-3048.75,2021-12-30 04:52:05.823934+00:00,2021-12-30 06:10:02.611120+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
21041,option,100,158.05,98.7,-5965.000000000001,2021-12-30 04:55:01.340066+00:00,2021-12-30 09:35:01.153445+00:00,17100,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21042,option,100,158.3,115.3,-4330.000000000002,2021-12-30 04:55:01.513335+00:00,2021-12-30 06:15:04.583610+00:00,17100,ce,4,Nifty50 Pyramiding_10,NIFTY
21043,option,25,540.0,386.4,-3870.0000000000005,2021-12-30 04:55:02.976384+00:00,2021-12-30 06:10:02.611120+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
21045,option,100,157.5,132.4,-2539.9999999999995,2021-12-30 05:00:02.771750+00:00,2021-12-30 05:50:01.957334+00:00,17100,ce,2,Nifty50 Pyramiding_1,NIFTY
