Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
22,Exit Short,long,2022-01-12 14:30,18207.00,1,1233.57,0.14,26357.14,0.01,1990.00,0.22,115.00,0.01
23,Entry Short,short,2022-01-12 13:15,18222.40,1,748.57,0.08,27125.72,0.01,1505.00,0.17,350.00,0.04
23,Exit Short,long,2022-01-12 14:30,18207.00,1,748.57,0.08,27125.72,0.01,1505.00,0.17,350.00,0.04
24,Entry Short,short,2022-01-12 13:20,18200.55,1,-343.93,-0.04,26801.79,0,412.50,0.05,1442.50,0.16
24,Exit Short,long,2022-01-12 14:30,18207.00,1,-343.93,-0.04,26801.79,0,412.50,0.05,1442.50,0.16
25,Entry Short,short,2022-01-12 13:25,18212.25,1,241.07,0.03,27062.86,0,997.50,0.11,857.50,0.09
25,Exit Short,long,2022-01-12 14:30,18207.00,1,241.07,0.03,27062.86,0,997.50,0.11,857.50,0.09
26,Entry Short,short,2022-01-12 13:30,18205.00,1,-121.43,-0.01,26961.43,0,635.00,0.07,1220.00,0.13
26,Exit Short,long,2022-01-12 14:30,18207.00,1,-121.43,-0.01,26961.43,0,635.00,0.07,1220.00,0.13
27,Entry Short,short,2022-01-12 13:35,18216.90,1,473.57,0.05,27455.00,0,1230.00,0.14,625.00,0.07
27,Exit Short,long,2022-01-12 14:30,18207.00,1,473.57,0.05,27455.00,0,1230.00,0.14,625.00,0.07
28,Entry Short,short,2022-01-12 13:40,18225.20,1,888.57,0.1,28363.57,0.01,1645.00,0.18,135.00,0.01
28,Exit Short,long,2022-01-12 14:30,18207.00,1,888.57,0.1,28363.57,0.01,1645.00,0.18,135.00,0.01
29,Entry Short,short,2022-01-12 14:05,18202.75,1,-233.93,-0.03,28149.64,0,522.50,0.06,712.50,0.08
29,Exit Short,long,2022-01-12 14:30,18207.00,1,-233.93,-0.03,28149.64,0,522.50,0.06,712.50,0.08
30,Entry Short,short,2022-01-12 14:10,18203.00,1,-221.43,-0.02,27948.22,0,380.00,0.04,700.00,0.08
30,Exit Short,long,2022-01-12 14:30,18207.00,1,-221.43,-0.02,27948.22,0,380.00,0.04,700.00,0.08
31,Entry Short,short,2022-01-12 14:15,18204.00,1,-171.43,-0.02,27796.79,0,430.00,0.05,650.00,0.07
31,Exit Short,long,2022-01-12 14:30,18207.00,1,-171.43,-0.02,27796.79,0,430.00,0.05,650.00,0.07
32,Entry Short,short,2022-01-12 14:20,18215.00,1,378.57,0.04,28195.36,0,460.00,0.05,100.00,0.01
32,Exit Short,long,2022-01-12 14:30,18207.00,1,378.57,0.04,28195.36,0,460.00,0.05,100.00,0.01
33,Entry Short,short,2022-01-12 14:25,18210.25,1,141.07,0.02,28356.43,0,222.50,0.02,257.50,0.03
33,Exit Short,long,2022-01-12 14:30,18207.00,1,141.07,0.02,28356.43,0,222.50,0.02,257.50,0.03
34,Entry Long,long,2022-01-12 14:30,18207.00,1,1199.89,0.13,29256.32,0.01,4818.57,0.53,31.43,0
34,Exit Long,short,2022-01-13 10:35,18231.05,1,1199.89,0.13,29256.32,0.01,4818.57,0.53,31.43,0
35,Entry Long,long,2022-01-12 14:35,18214.50,1,806.32,0.09,30082.65,0.01,4425.00,0.49,20.00,0
35,Exit Long,short,2022-01-13 10:35,18231.05,1,806.32,0.09,30082.65,0.01,4425.00,0.49,20.00,0
36,Entry Long,long,2022-01-12 14:40,18226.55,1,203.82,0.02,30306.47,0,3822.50,0.42,445.00,0.05
36,Exit Long,short,2022-01-13 10:35,18231.05,1,203.82,0.02,30306.47,0,3822.50,0.42,445.00,0.05
37,Entry Long,long,2022-01-12 15:00,18240.45,1,-491.18,-0.05,29835.30,0,3127.50,0.34,1020.00,0.11
37,Exit Long,short,2022-01-13 10:35,18231.05,1,-491.18,-0.05,29835.30,0,3127.50,0.34,1020.00,0.11
38,Entry Long,long,2022-01-12 15:05,18250.55,1,-996.18,-0.11,28859.12,-0.01,2622.50,0.29,1525.00,0.17
38,Exit Long,short,2022-01-13 10:35,18231.05,1,-996.18,-0.11,28859.12,-0.01,2622.50,0.29,1525.00,0.17
39,Entry Long,long,2022-01-12 15:10,18243.40,1,-638.68,-0.07,28240.44,-0.01,2980.00,0.33,1167.50,0.13
39,Exit Long,short,2022-01-13 10:35,18231.05,1,-638.68,-0.07,28240.44,-0.01,2980.00,0.33,1167.50,0.13
40,Entry Long,long,2022-01-12 15:15,18242.40,1,-588.68,-0.06,27671.77,-0.01,3030.00,0.33,1117.50,0.12
40,Exit Long,short,2022-01-13 10:35,18231.05,1,-588.68,-0.06,27671.77,-0.01,3030.00,0.33,1117.50,0.12
41,Entry Long,long,2022-01-12 15:20,18237.20,1,-328.68,-0.04,27363.09,0,3290.00,0.36,857.50,0.09
41,Exit Long,short,2022-01-13 10:35,18231.05,1,-328.68,-0.04,27363.09,0,3290.00,0.36,857.50,0.09
42,Entry Long,long,2022-01-12 15:25,18230.80,1,-8.68,0,27374.41,0,3610.00,0.4,537.50,0.06
