Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
21,Entry Long,long,2022-01-04 11:00,36920.40,1,-2480.95,-0.27,-40505.54,-0.02,570.00,0.06,3780.00,0.41
21,Exit Long,short,2022-01-04 11:30,36822.00,1,-2480.95,-0.27,-40505.54,-0.02,570.00,0.06,3780.00,0.41
22,Entry Long,long,2022-01-04 11:05,36921.50,1,-2508.45,-0.27,-42993.99,-0.03,141.25,0.02,3807.50,0.41
22,Exit Long,short,2022-01-04 11:30,36822.00,1,-2508.45,-0.27,-42993.99,-0.03,141.25,0.02,3807.50,0.41
23,Entry Long,long,2022-01-04 11:10,36907.65,1,-2162.20,-0.23,-45136.19,-0.02,88.75,0.01,3461.25,0.38
23,Exit Long,short,2022-01-04 11:30,36822.00,1,-2162.20,-0.23,-45136.19,-0.02,88.75,0.01,3461.25,0.38
24,Entry Long,long,2022-01-04 11:15,36833.45,1,-307.20,-0.03,-45423.39,0,907.50,0.1,1606.25,0.17
24,Exit Long,short,2022-01-04 11:30,36822.00,1,-307.20,-0.03,-45423.39,0,907.50,0.1,1606.25,0.17
25,Entry Long,long,2022-01-04 11:20,36853.95,1,-819.70,-0.09,-46223.09,-0.01,51.25,0.01,2118.75,0.23
25,Exit Long,short,2022-01-04 11:30,36822.00,1,-819.70,-0.09,-46223.09,-0.01,51.25,0.01,2118.75,0.23
26,Entry Long,long,2022-01-04 11:25,36779.75,1,1035.30,0.11,-45167.80,0.01,1363.75,0.15,20.00,0
26,Exit Long,short,2022-01-04 11:30,36822.00,1,1035.30,0.11,-45167.80,0.01,1363.75,0.15,20.00,0
27,Entry Short,short,2022-01-04 11:30,36822.00,1,-3573.95,-0.39,-49501.75,-0.04,4595.30,0.5,3875.95,0.42
27,Exit Short,long,2022-01-04 14:45,36964.90,1,-3573.95,-0.39,-49501.75,-0.04,4595.30,0.5,3875.95,0.42
28,Entry Short,short,2022-01-04 11:35,36839.55,1,-3154.25,-0.34,-52636.00,-0.03,5015.00,0.54,3456.25,0.38
28,Exit Short,long,2022-01-04 14:45,36964.90,1,-3154.25,-0.34,-52636.00,-0.03,5015.00,0.54,3456.25,0.38
29,Entry Short,short,2022-01-04 11:40,36865.00,1,-2518.00,-0.27,-55134.00,-0.03,5651.25,0.61,2820.00,0.31
29,Exit Short,long,2022-01-04 14:45,36964.90,1,-2518.00,-0.27,-55134.00,-0.03,5651.25,0.61,2820.00,0.31
30,Entry Short,short,2022-01-04 11:45,36889.45,1,-1906.75,-0.21,-57020.75,-0.02,6262.50,0.68,2208.75,0.24
30,Exit Short,long,2022-01-04 14:45,36964.90,1,-1906.75,-0.21,-57020.75,-0.02,6262.50,0.68,2208.75,0.24
31,Entry Short,short,2022-01-04 11:50,36881.05,1,-2116.75,-0.23,-59117.50,-0.02,6052.50,0.66,2418.75,0.26
31,Exit Short,long,2022-01-04 14:45,36964.90,1,-2116.75,-0.23,-59117.50,-0.02,6052.50,0.66,2418.75,0.26
32,Entry Short,short,2022-01-04 11:55,36912.90,1,-1320.50,-0.14,-60418.00,-0.01,6848.75,0.74,1622.50,0.18
32,Exit Short,long,2022-01-04 14:45,36964.90,1,-1320.50,-0.14,-60418.00,-0.01,6848.75,0.74,1622.50,0.18
33,Entry Short,short,2022-01-04 12:00,36880.00,1,-2143.00,-0.23,-62541.00,-0.02,6026.25,0.65,2445.00,0.27
33,Exit Short,long,2022-01-04 14:45,36964.90,1,-2143.00,-0.23,-62541.00,-0.02,6026.25,0.65,2445.00,0.27
34,Entry Short,short,2022-01-04 12:05,36921.10,1,-1115.50,-0.12,-63636.50,-0.01,7053.75,0.76,1417.50,0.15
34,Exit Short,long,2022-01-04 14:45,36964.90,1,-1115.50,-0.12,-63636.50,-0.01,7053.75,0.76,1417.50,0.15
35,Entry Short,short,2022-01-04 12:10,36927.50,1,-955.50,-0.1,-64572.00,-0.01,7213.75,0.78,1257.50,0.14
35,Exit Short,long,2022-01-04 14:45,36964.90,1,-955.50,-0.1,-64572.00,-0.01,7213.75,0.78,1257.50,0.14
36,Entry Short,short,2022-01-04 12:15,36930.05,1,-891.75,-0.1,-65443.75,-0.01,7277.50,0.79,1193.75,0.13
36,Exit Short,long,2022-01-04 14:45,36964.90,1,-891.75,-0.1,-65443.75,-0.01,7277.50,0.79,1193.75,0.13
37,Entry Short,short,2022-01-04 12:20,36887.55,1,-1954.25,-0.21,-67378.00,-0.02,6215.00,0.67,2256.25,0.24
37,Exit Short,long,2022-01-04 14:45,36964.90,1,-1954.25,-0.21,-67378.00,-0.02,6215.00,0.67,2256.25,0.24
38,Entry Short,short,2022-01-04 12:25,36840.00,1,-3143.00,-0.34,-70501.00,-0.03,5026.25,0.55,3445.00,0.37
38,Exit Short,long,2022-01-04 14:45,36964.90,1,-3143.00,-0.34,-70501.00,-0.03,5026.25,0.55,3445.00,0.37
39,Entry Short,short,2022-01-04 12:30,36835.05,1,-3266.75,-0.35,-73747.75,-0.03,4902.50,0.53,3568.75,0.39
39,Exit Short,long,2022-01-04 14:45,36964.90,1,-3266.75,-0.35,-73747.75,-0.03,4902.50,0.53,3568.75,0.39
40,Entry Short,short,2022-01-04 12:35,36872.20,1,-2338.00,-0.25,-76065.75,-0.02,5831.25,0.63,2640.00,0.29
40,Exit Short,long,2022-01-04 14:45,36964.90,1,-2338.00,-0.25,-76065.75,-0.02,5831.25,0.63,2640.00,0.29
41,Entry Short,short,2022-01-04 12:40,36851.10,1,-2865.50,-0.31,-78911.25,-0.03,5303.75,0.58,3167.50,0.34
41,Exit Short,long,2022-01-04 14:45,36964.90,1,-2865.50,-0.31,-78911.25,-0.03,5303.75,0.58,3167.50,0.34
42,Entry Short,short,2022-01-04 12:45,36855.75,1,-2749.25,-0.3,-81640.50,-0.03,5420.00,0.59,3051.25,0.33
42,Exit Short,long,2022-01-04 14:45,36964.90,1,-2749.25,-0.3,-81640.50,-0.03,5420.00,0.59,3051.25,0.33
43,Entry Short,short,2022-01-04 12:50,36830.15,1,-3389.25,-0.37,-85009.75,-0.03,4780.00,0.52,3691.25,0.4
43,Exit Short,long,2022-01-04 14:45,36964.90,1,-3389.25,-0.37,-85009.75,-0.03,4780.00,0.52,3691.25,0.4
44,Entry Short,short,2022-01-04 12:55,36830.65,1,-3376.75,-0.37,-88366.50,-0.03,4792.50,0.52,3678.75,0.4
44,Exit Short,long,2022-01-04 14:45,36964.90,1,-3376.75,-0.37,-88366.50,-0.03,4792.50,0.52,3678.75,0.4
45,Entry Short,short,2022-01-04 13:00,36840.75,1,-3124.25,-0.34,-91470.75,-0.03,5045.00,0.55,3426.25,0.37
45,Exit Short,long,2022-01-04 14:45,36964.90,1,-3124.25,-0.34,-91470.75,-0.03,5045.00,0.55,3426.25,0.37
46,Entry Short,short,2022-01-04 13:05,36857.20,1,-2713.00,-0.29,-94163.75,-0.03,5456.25,0.59,3015.00,0.33
46,Exit Short,long,2022-01-04 14:45,36964.90,1,-2713.00,-0.29,-94163.75,-0.03,5456.25,0.59,3015.00,0.33
47,Entry Short,short,2022-01-04 13:10,36839.85,1,-3146.75,-0.34,-97290.50,-0.03,5022.50,0.55,3448.75,0.37
47,Exit Short,long,2022-01-04 14:45,36964.90,1,-3146.75,-0.34,-97290.50,-0.03,5022.50,0.55,3448.75,0.37
48,Entry Short,short,2022-01-04 13:15,36805.00,1,-4018.00,-0.44,-101288.50,-0.04,4151.25,0.45,4320.00,0.47
48,Exit Short,long,2022-01-04 14:45,36964.90,1,-4018.00,-0.44,-101288.50,-0.04,4151.25,0.45,4320.00,0.47
